OBJECTID_1,FID_neighbourhoods_polygon,neighbourh,text,created,Description,longitude,latitude,hashtag,statusSour
45,15,Buitenveldert - Zuidas,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel De Boelelaan Amsterdam
 https://t.co/QkwQRrZO2b",2019-06-15,non-tourist,4.8880442,52.3347362,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
46,15,Buitenveldert - Zuidas,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Gustav Mahlerlaan Amsterdam
 https://t.co/yghTOxcEeS",2019-06-20,non-tourist,4.861763,52.335355,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
47,14,Zuid,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-01 Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuispad Amsterda… https://t.co/Hy7x9hErPo",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
48,14,Zuid,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-01 Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuispad Amsterda… https://t.co/xUH4fRyF2y",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
49,14,Zuid,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-01 Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuispad Amsterda… https://t.co/GN5ANo7Iee",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
50,14,Zuid,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 2 BAD-01 Aflossen - Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuisp… https://t.co/171W2xhXyJ",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
51,15,Buitenveldert - Zuidas,Tussen afspraken door mooie inspirerende architectuur wandeling door Amsterdam-Zuidas. #afspraken #inspirerende… https://t.co/ATW62dvMSE,2019-06-19,tourist,4.87331594,52.33934717,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
53,13,De Pijp - Rivierenbuurt,rematec_photos  @rematec #amsterdam #shinewithus @ RAI Amsterdam https://t.co/y5orsuhHEu,2019-06-23,non-tourist,4.88909264,52.34137708,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
54,14,Zuid,It is always good to stay learning...if you can... from the best. #cruyfffootball 's Individual skills training was… https://t.co/OssRk35SoI,2019-06-20,non-tourist,4.854192,52.343419,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
55,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Laan der Hesperiden Amsterdam
 https://t.co/skLENV9RZY",2019-06-20,non-tourist,4.856907,52.345348,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
56,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Stadionweg Amsterdam
 https://t.co/5SDmCQBAui",2019-06-19,non-tourist,4.864355,52.34605,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
57,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Stadionweg Amsterdam
 https://t.co/eAkxV1WUq8",2019-06-19,non-tourist,4.864355,52.34605,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
58,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Stadionweg Amsterdam
 https://t.co/OCGzWE1iiq",2019-06-19,non-tourist,4.864355,52.34605,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
59,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Minervaplein Amsterdam
 https://t.co/NlJOz2lDlm",2019-06-20,non-tourist,4.87253,52.346377,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
60,9,Watergraafsmeer,Dusk time shoots next to the office #amsterdam #amsterdamcanals @ Amstelstation https://t.co/9XIXc7JIY8,2019-06-18,tourist,4.91786227,52.3466199,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
61,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Vrijheidslaan Amsterdam
 https://t.co/SrZJuorl8s",2019-06-15,non-tourist,4.907137,52.346768,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
62,9,Watergraafsmeer,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Kruislaan Amsterdam
 https://t.co/Mvy68MWuOt",2019-06-17,non-tourist,4.939377,52.347288,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
63,9,Watergraafsmeer,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Kruislaan Amsterdam
 https://t.co/kOS3VsuXDB",2019-06-24,non-tourist,4.939377,52.347288,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
64,4,IJburg - Zeeburgereiland,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-02 Brand Woning (Middel Brand) (Slachtoffers: ) (Dak) , Nico Jessekade Amsterdam
 https://t.co/GwVWll8Vtm",2019-06-19,non-tourist,5.0041476,52.347924,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
65,9,Watergraafsmeer,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Prins Bernhardplein Amsterdam
 https://t.co/o30pqAtbC7",2019-06-22,non-tourist,4.91782,52.348275,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
66,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Amstelkade Amsterdam
 https://t.co/JyyRnic5Ev",2019-06-15,non-tourist,4.907313,52.349277,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
67,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Beethovenstraat Amsterdam
 https://t.co/iRhAbFFKDn",2019-06-18,non-tourist,4.877459,52.349384,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
68,9,Watergraafsmeer,BuzzMaster mist een enthousiaste online branding &amp; marketing stagiaire! Wie komt deze stage vacature vervullen? <U+2600><U+FE0F>… https://t.co/RG8NheBJB4,2019-06-24,non-tourist,4.9221,52.3495599,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
69,9,Watergraafsmeer,"@TeamNM2D is vandaag lekker aan het voetballen bij de @adfocup 
Mocht je in de buurt zijn van de Zuidas, een beetje… https://t.co/WwZPyTLvpj",2019-06-15,non-tourist,4.94837123,52.34964534,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
70,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Van Hilligaertstraat Amsterdam
 https://t.co/5UZ3yYB5mQ",2019-06-16,non-tourist,4.88714,52.349725,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
71,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Van Hilligaertstraat Amsterdam
 https://t.co/vrsr2pnRqG",2019-06-16,non-tourist,4.88714,52.349725,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
72,9,Watergraafsmeer,"I can't come here without pictures of bodies of water <U+0001F30A><U+26F4><U+FE0F>
.
.
.
.
#amsterdam #canals #ferry #nightsight… https://t.co/WzcogPXADE",2019-06-17,tourist,4.91844964,52.3499379,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
74,21,De Aker - Nieuw Sloten,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Pieter Calandlaan Amsterdam
 https://t.co/QTHZXNuUeg",2019-06-16,non-tourist,4.788562,52.349978,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
75,21,De Aker - Nieuw Sloten,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Pieter Calandlaan Amsterdam
 https://t.co/eqgSZgfx6v",2019-06-16,non-tourist,4.788562,52.349978,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
76,21,De Aker - Nieuw Sloten,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Pieter Calandlaan Amsterdam
 https://t.co/dgOwedKGQ3",2019-06-24,non-tourist,4.788562,52.349978,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
77,19,Slotervaart,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Rijswijkstraat Amsterdam
 https://t.co/fAGsSXfFTi",2019-06-19,non-tourist,4.84307,52.350075,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
78,19,Slotervaart,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Rijswijkstraat Amsterdam
 https://t.co/ZWIdWnZWaf",2019-06-19,non-tourist,4.84307,52.350075,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
79,14,Zuid,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-02 Brand Woning (Middel Brand) (Slachtoffers: ) , Stolwijkstraat Amsterdam
 https://t.co/P8uOSPRP10",2019-06-20,non-tourist,4.84845,52.350565,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
80,14,Zuid,"Vrijmicava <U+0001F942> Met zaaaaalige tapas <U+0001F483><U+0001F3FC> Aanradertje! .
.
#cavataria #cava #findesemana #cheerstotheweekend #hiddengem… https://t.co/QGNlzyE2YO",2019-06-21,tourist,4.86323,52.3511499,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
81,14,Zuid,LOL #TBT DeShun with HAIR! <U+0001F466><U+0001F3FE> Hahahahahaha man my waves <U+0001F30A> were CRAZY! My Brother from Another Mother… https://t.co/JAI0XJBz04,2019-06-20,tourist,4.87202,52.35143,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
82,21,De Aker - Nieuw Sloten,#Lifeliner1 A1 13991 Rit 73577 #AMSTERDAM Anton Holzelsingel 1069PP,2019-06-23,non-tourist,4.786879,52.351676,amsterdam,"<a href=""http://www.waarisdebrand.nl"" rel=""nofollow"">widb-twit</a>"
83,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Bedrijf/Instelling Reijnier Vinkeleskade Amsterdam
 https://t.co/mjPbuQMTvz",2019-06-19,non-tourist,4.87636,52.351975,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
84,19,Slotervaart,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Delflandlaan Amsterdam
 https://t.co/xzyS6lyASp",2019-06-20,non-tourist,4.840778,52.352315,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
85,13,De Pijp - Rivierenbuurt,... This ramen is beyond beautiful! ... #japanese #asianfood #ramen #spicyfood #japanesefood #foodie #foodbaby… https://t.co/wjL3YUWUdg,2019-06-18,tourist,4.88871,52.35264,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
86,9,Watergraafsmeer,"Timmerpand.
-
-
-
-
#lankhorstmakelaars #aankoop #aankoopmakelaar #aankoopmakelaaramsterdam #timmeren #kluspand… https://t.co/nOjTOybp3e",2019-06-24,non-tourist,4.93064722,52.35278889,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
87,14,Zuid,#kbalsupernatural #vanbaerlestraat #97 #amsterdam #menhaircolor #manhaircolor #menhighlights #manhighlights… https://t.co/09XQ4O6WhV,2019-06-19,non-tourist,4.88193794,52.35363912,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
88,19,Slotervaart,"Mooie etalages, geslaagde inkoop en een uiterst gezellig en gastvrij onthaal weer overal.<U+0001F44C> #inkoop #fashion… https://t.co/oPXsrqFc9w",2019-06-20,non-tourist,4.84113,52.35456,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
89,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #LFL03 <U+0001F681> A1 Albert Cuypstraat Amsterdam Incident 34955 MKL amsterdam
 https://t.co/Gh0gFbvKof",2019-06-24,non-tourist,4.889255,52.354745,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm Lifeliners</a>"
90,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Reanimatie Albert Cuypstraat Amsterdam
 https://t.co/btjthqtizs",2019-06-24,non-tourist,4.889255,52.354745,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
91,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Haarlemmermeerstraat Amsterdam
 https://t.co/tvMzhaaY7R",2019-06-18,non-tourist,4.850295,52.355205,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
92,13,De Pijp - Rivierenbuurt,#celebrating #completing #project #festive #culinairy #experience petit_caron #amsterdam #whereelse @ De Pijp https://t.co/JcrlZ0IQ79,2019-06-20,tourist,4.89080872,52.35556889,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
93,13,De Pijp - Rivierenbuurt,herring... Amsterdam style #albertcuyp #herring #nom #amsterdam #pickles #onions #netherlands @ Albert Cuypmarkt https://t.co/2c5NcmhRhA,2019-06-23,tourist,4.89369924,52.35567748,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
95,13,De Pijp - Rivierenbuurt,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Amsteldijk Amsterdam
 https://t.co/hqAgtCP9PL",2019-06-18,non-tourist,4.905245,52.35568,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
96,14,Zuid,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Amstelveenseweg Amsterdam
 https://t.co/o67eT9s4Hi",2019-06-20,non-tourist,4.8547513,52.3562059,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
97,19,Slotervaart,"Revisitando antiguos #proyectos. Hoy el segundo @PortoMarinaNL en #amsterdam #iamsterdam. #faqeuropeantour
.
.… https://t.co/UzzjbNBR9r",2019-06-19,non-tourist,4.82684707,52.35640295,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
98,19,Slotervaart,"Revisitando antiguos #proyectos. Hoy el segundo @PortoMarinaNL en #amsterdam #iamsterdam. #faqeuropeantour
.
.… https://t.co/HpNLr4Byrr",2019-06-19,non-tourist,4.82684707,52.35640295,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
100,14,Zuid,"Doing his best Begbie impression....
.
.
.
.
.
#malemodel #model #craig #begbie #trainspotting #lean #lampost… https://t.co/uDWz27PxuP",2019-06-15,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
101,14,Zuid,Matching colours #fiba #3×3 #basketball #australia #france #worldchampionship #oogvoornoordholland #amsterdam #logo… https://t.co/kY2pzP4KVW,2019-06-21,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
102,14,Zuid,"#3x3 #basketball #worldcup match #USA vs #netherlands last few seconds 
#Amsterdam @ Museumplein, Amsterdam https://t.co/3PGi8z24xZ",2019-06-22,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
103,14,Zuid,Dunkin' Franklin #dunking #3x3wc #Amsterdam #oogvoornoordholland #museumplein #dunk #noordholland #teamnl… https://t.co/03cIwIp8T1,2019-06-22,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
